Title	Level	Expires	Dur	Num	Reward	Counters						
Felraiser	100 (675)		10 hr	2	1500 XP + 600 Apexis Crystal	Powerful Spell	Massive Strike	Timed Battle	Massive Strike			
Green Fel	100 (675)		10 hr	2	1500 XP + 150 gold	Powerful Spell	Massive Strike	Timed Battle	Magic Debuff			
Lessons of the Blade	100 (675)		6 hr	2	1500 XP + Follower Retraining Scroll	Wild Aggression	Massive Strike	Group Damage	Danger Zones	Timed Battle		
Night of the Primals	100 (675)		8 hr	2	1500 XP + Primal Spirit	Wild Aggression	Timed Battle	Minion Swarms	Minion Swarms			
Spring Preening	100 (675)		8 hr	2	1500 XP + 600 Apexis Crystal	Deadly Minions	Minion Swarms	Deadly Minions	Powerful Spell			
What's Mine is a Mine	100 (675)		10 hr	2	1500 XP + 30 Primal Spirit	Group Damage	Danger Zones	Massive Strike	Minion Swarms			
Apexis Nexus	100 (660)		8 hr	2	1500 XP + 400 Apexis Crystal	Powerful Spell	Magic Debuff	Massive Strike	Group Damage			
Black Forge	100 (660)		8 hr	3	1500 XP + Blackrock Foundry Spoils	Massive Strike	Danger Zones	Wild Aggression	Group Damage	Group Damage	Timed Battle	Powerful Spell
Blackhand's Crucible	100 (660)		8 hr	3	1500 XP + Blackrock Foundry Spoils	Wild Aggression	Massive Strike	Group Damage	Powerful Spell	Danger Zones	Deadly Minions	Timed Battle
Bucket Brigade	100 (660)		8 hr	2	1500 XP + 20 Primal Spirit	Minion Swarms	Group Damage	Powerful Spell	Danger Zones			
Emancipation	100 (660)		8 hr	2	1500 XP + 400 Apexis Crystal	Magic Debuff	Powerful Spell	Danger Zones	Group Damage			
Highway to Fel	100 (660)		8 hr	2	1500 XP + 400 Apexis Crystal	Deadly Minions	Powerful Spell	Massive Strike	Timed Battle			
Iron Assembly	100 (660)		8 hr	3	1500 XP + Blackrock Foundry Spoils	Danger Zones	Minion Swarms	Powerful Spell	Magic Debuff	Group Damage	Magic Debuff	Minion Swarms
Lunch Breakers	100 (660)		8 hr	2	1500 XP + 20 Primal Spirit	Massive Strike	Timed Battle	Wild Aggression	Minion Swarms			
Mulch Ado About Nothing	100 (660)		8 hr	3	1500 XP + 20 Primal Spirit	Wild Aggression	Deadly Minions	Massive Strike	Minion Swarms			
Prime Directive	100 (660)		8 hr	2	1500 XP + 20 Primal Spirit	Powerful Spell	Danger Zones	Danger Zones	Magic Debuff			
Slagworks	100 (660)		8 hr	3	1500 XP + Blackrock Foundry Spoils	Danger Zones	Group Damage	Wild Aggression	Massive Strike	Timed Battle	Minion Swarms	Deadly Minions
Socrethar Sabotage	100 (660)		8 hr	2	1500 XP + 400 Apexis Crystal	Magic Debuff	Deadly Minions	Deadly Minions	Massive Strike			
Deathhoof	100 (645)		6 hr	2	100 XP + Savage Blood	Minion Swarms	Massive Strike	Wild Aggression	Danger Zones			
Highmaul Raid	100 (645)		8 hr	3	1500 XP + 655 Highmaul Cache	Wild Aggression	Group Damage	Group Damage	Danger Zones	Minion Swarms	Magic Debuff	
A Grave Mistake	100 (630)		8 hr	3	1500 XP + 645 Grandiose Spaulders	Powerful Spell	Timed Battle	Magic Debuff	Powerful Spell			
Can't Go Home This Way	100 (630)		6 hr	3	1500 XP + 300 resource	Group Damage	Danger Zones	Massive Strike	Timed Battle			
Eviction	100 (630)		8 hr	3	1500 XP + 645 robes	Timed Battle	Danger Zones	Wild Aggression	Massive Strike			
Ghost Wranglers	100 (630)		8 hr	3	1500 XP + 100 gold	Wild Aggression	Powerful Spell	Danger Zones	Minion Swarms			
Got A Light?	100 (630)		6 hr	3	1500 XP + 100 gold	Timed Battle	Danger Zones	Group Damage	Minion Swarms			
Labor Dispute	100 (630)		10 hr	3	1500 XP + 645 Grandiose Treads	Powerful Spell	Deadly Minions	Wild Aggression	Minion Swarms			
Logistics are for Professionals	100 (630)		8 hr	3	1500 XP + 645 Choker	Massive Strike	Timed Battle	Timed Battle	Danger Zones			
Magical Mystery Tour	100 (630)		6 hr	3	1500 XP + 300 resource	Timed Battle	Massive Strike	Magic Debuff	Powerful Spell			
Murder Most Fowl	100 (630)		8 hr	3	1500 XP + 645 trinket	Powerful Spell	Deadly Minions	Timed Battle	Deadly Minions			
Operation Skybreach	100 (630)		8 hr	3	1500 XP + 645 Goredrenched Weapon	Timed Battle	Deadly Minions	Timed Battle	Group Damage			
Rollin' like a Kraken	100 (630)		8 hr	3	1500 XP + 100 gold	Massive Strike	Deadly Minions	Danger Zones	Powerful Spell			
